,Year,Month,Median_Temp_Difference
560,1896,09,-0.109
561,1896,10,-0.12300000000000001
562,1896,11,-0.28600000000000003
563,1896,12,-0.034
564,1897,01,-0.203
565,1897,02,-0.125
566,1897,03,-0.275
567,1897,04,-0.076
568,1897,05,-0.031
569,1897,06,-0.155
570,1897,07,-0.157
571,1897,08,-0.149
572,1897,09,-0.135
573,1897,10,-0.258
574,1897,11,-0.45299999999999996
575,1897,12,-0.47700000000000004
576,1898,01,-0.085
577,1898,02,-0.38
578,1898,03,-0.7490000000000001
579,1898,04,-0.573
580,1898,05,-0.474
581,1898,06,-0.319
582,1898,07,-0.377
583,1898,08,-0.306
584,1898,09,-0.332
585,1898,10,-0.556
586,1898,11,-0.449
587,1898,12,-0.34600000000000003
588,1899,01,-0.20800000000000002
589,1899,02,-0.494
590,1899,03,-0.544
591,1899,04,-0.35100000000000003
592,1899,05,-0.316
593,1899,06,-0.39
594,1899,07,-0.275
595,1899,08,-0.147
596,1899,09,-0.136
597,1899,10,-0.188
598,1899,11,0.027999999999999997
599,1899,12,-0.45
600,1900,01,-0.266
601,1900,02,-0.172
602,1900,03,-0.285
603,1900,04,-0.261
604,1900,05,-0.273
605,1900,06,-0.18
606,1900,07,-0.19
607,1900,08,-0.185
608,1900,09,-0.23
609,1900,10,-0.057999999999999996
610,1900,11,-0.263
611,1900,12,-0.075
612,1901,01,-0.17600000000000002
613,1901,02,-0.272
614,1901,03,-0.23600000000000002
615,1901,04,-0.187
616,1901,05,-0.196
617,1901,06,-0.146
618,1901,07,-0.188
619,1901,08,-0.196
620,1901,09,-0.34299999999999997
621,1901,10,-0.298
622,1901,11,-0.442
623,1901,12,-0.428
624,1902,01,-0.23199999999999998
625,1902,02,-0.26
626,1902,03,-0.39799999999999996
627,1902,04,-0.451
628,1902,05,-0.401
629,1902,06,-0.424
630,1902,07,-0.391
631,1902,08,-0.368
632,1902,09,-0.361
633,1902,10,-0.47700000000000004
634,1902,11,-0.5379999999999999
635,1902,12,-0.526
636,1903,01,-0.26899999999999996
637,1903,02,-0.18100000000000002
638,1903,03,-0.358
639,1903,04,-0.473
640,1903,05,-0.46299999999999997
641,1903,06,-0.537
642,1903,07,-0.485
643,1903,08,-0.5870000000000001
644,1903,09,-0.518
645,1903,10,-0.653
646,1903,11,-0.634
647,1903,12,-0.604
648,1904,01,-0.644
649,1904,02,-0.59
650,1904,03,-0.6609999999999999
651,1904,04,-0.5529999999999999
652,1904,05,-0.527
653,1904,06,-0.522
654,1904,07,-0.522
655,1904,08,-0.47700000000000004
656,1904,09,-0.478
657,1904,10,-0.473
658,1904,11,-0.387
659,1904,12,-0.40700000000000003
660,1905,01,-0.46
661,1905,02,-0.703
662,1905,03,-0.462
663,1905,04,-0.555
664,1905,05,-0.344
665,1905,06,-0.314
666,1905,07,-0.297
667,1905,08,-0.301
668,1905,09,-0.313
669,1905,10,-0.363
670,1905,11,-0.218
671,1905,12,-0.19899999999999998
672,1906,01,-0.075
673,1906,02,-0.225
674,1906,03,-0.284
675,1906,04,-0.115
676,1906,05,-0.32899999999999996
677,1906,06,-0.287
678,1906,07,-0.315
679,1906,08,-0.319
680,1906,09,-0.385
681,1906,10,-0.35100000000000003
682,1906,11,-0.42700000000000005
683,1906,12,-0.28300000000000003
684,1907,01,-0.431
685,1907,02,-0.512
